Time,XGyro,YGyro,ZGyro,XAccel,YAccel,ZAccel,XMag,YMag,ZMag
0.000,1.02,11.70,-12.36,0.2922,0.0213,-1.0569,0.6906,0.7563,-0.9458
0.000,4.36,-62.01,-32.30,0.4793,0.1295,-1.2333,0.7372,0.7404,-0.8865
0.000,21.10,9.27,-34.34,0.3805,0.1997,-1.3306,0.7351,0.7035,-0.8468
0.000,-35.49,13.89,-10.02,0.2444,0.2776,-1.2635,0.7635,0.6632,-0.9180
0.000,-2.86,-4.01,20.43,0.2001,0.2635,-1.0862,0.6581,0.6725,-0.9234
0.000,-6.92,4.97,24.33,0.1687,0.2472,-0.8029,0.7984,0.7168,-0.8589
0.000,-6.45,5.31,42.20,0.1560,0.0660,-0.9501,0.7363,0.7053,-0.9272
0.000,-13.84,10.82,17.81,0.3428,-0.0179,-1.3199,0.6150,0.8202,-0.9569
0.000,9.79,42.49,10.03,0.3109,0.1151,-1.3470,0.4929,0.7497,-0.9337
0.000,-15.49,4.75,4.38,0.1582,0.1028,-1.3156,0.5359,0.6660,-0.9848
0.000,-8.95,-25.00,-5.49,0.1783,0.2283,-1.0700,0.6488,0.7299,-0.8647
0.000,2.96,5.51,-32.05,0.1780,0.1353,-0.7579,0.7415,0.6864,-0.8383
0.000,1.62,21.64,-21.21,0.3793,0.2089,-0.9781,0.8915,0.7773,-0.7450
0.000,-44.07,-15.89,-12.45,0.4102,0.1554,-1.2961,0.8028,0.6850,-0.7829
0.000,-17.87,13.44,-0.76,0.3015,0.3138,-1.2017,0.8187,0.5860,-0.8843
0.000,-14.63,10.28,36.88,0.2330,0.3120,-1.0774,0.9631,0.4976,-0.8567
0.000,-17.56,-4.56,19.18,0.1459,0.2380,-0.9587,0.9584,0.4979,-0.8936
0.000,-16.43,4.76,33.71,0.0850,0.1501,-0.7766,0.9192,0.4591,-0.9371
0.000,-36.52,8.85,42.75,0.0861,0.0500,-1.0596,0.9850,0.4513,-0.8808
0.000,-0.38,18.04,-5.54,0.3688,0.0938,-1.3001,0.9964,0.4902,-0.9063
0.000,-5.27,46.43,2.27,0.3737,0.1470,-1.2193,0.4520,0.7347,-0.8788
0.000,-21.37,-11.73,9.24,0.3097,0.1209,-1.2765,0.3445,0.8968,-0.9437
0.000,-10.79,-30.19,-8.98,0.2568,0.1613,-1.1544,0.2266,0.7914,-0.9641
0.000,-21.64,-27.70,11.77,0.1652,0.1386,-1.0513,0.4558,0.6993,-0.8715
0.000,8.16,-16.65,-22.23,0.1500,0.1498,-0.7868,0.6397,0.7348,-0.8996
0.000,26.61,-9.34,-35.19,0.2830,0.1352,-0.8685,0.7331,0.7303,-0.8612
0.000,10.99,17.84,-23.70,0.2313,0.0489,-1.0842,0.6343,0.5759,-0.9094
0.000,7.90,-16.52,-25.55,0.3657,0.1236,-1.2131,0.6844,0.6353,-0.9114
0.000,7.05,10.12,-8.24,0.2542,0.2773,-1.2071,0.6121,0.6181,-0.8681
0.000,-30.67,-5.74,1.69,0.2032,0.2972,-1.1244,0.6366,0.6597,-0.9750
0.000,-1.52,5.13,8.28,0.1795,0.2194,-0.9009,0.6832,0.6248,-0.9852
0.000,25.56,-10.06,37.26,0.0699,0.1211,-0.8502,0.6257,0.7007,-0.9303
0.000,-16.28,9.94,34.13,0.1009,0.0531,-1.1612,0.6743,0.6863,-0.9258
0.000,20.12,-11.19,18.34,0.2344,0.0619,-1.2829,0.6319,0.6562,-0.8965
0.000,21.13,2.46,11.82,0.1037,0.1646,-1.1063,0.5960,0.6633,-0.9780
0.000,-15.89,-15.71,1.71,0.0840,0.2099,-1.0609,0.7010,0.6960,-0.9687
0.000,-15.93,-7.73,0.09,0.1539,0.1799,-0.9215,0.7565,0.5945,-0.9512
0.000,11.95,-0.73,-6.94,0.1278,0.1392,-0.7987,0.8234,0.5582,-0.9412
0.000,-42.36,38.33,19.10,0.2185,0.0336,-1.2509,0.9971,0.3321,-0.9468
0.000,13.64,-25.13,-28.72,0.3299,0.1468,-1.1838,1.0865,0.2201,-0.9717
0.000,-41.03,-14.76,4.13,0.2634,0.3539,-1.1189,1.1263,0.1266,-0.9652
0.000,-27.31,3.40,-19.99,0.2819,0.3571,-1.1052,1.0425,0.0889,-0.9955
0.000,3.85,-1.12,17.68,0.1476,0.2668,-0.8424,1.1468,0.0461,-0.9399
0.000,-18.14,-10.28,40.04,0.1355,0.0416,-0.8526,1.1330,0.0381,-1.0227
0.000,18.19,4.43,24.82,0.2313,0.0999,-1.1227,1.0341,0.1743,-1.0374
0.000,9.52,13.54,41.11,0.2080,0.1395,-1.1956,0.9768,0.1103,-1.0509
